Tetun (tdt),Mambai (mgm),English (eng),source
Labarik ne’ebé mak hatais faru mean soe hudi nia kulit ba rai. Labarik ida fali sama hudi kulit depois monu.,Lokid hut har meran te muk litan man rae la. Lokid loin hel sam muk litan depois mou,,Mambae STORY BOOKS copy
"Nia hirus kedas labarik faru mean ne’e. Nia dada ninia faru, no koko atu baku nia.","Ua tou enene lokid har meran ua. Ua dad ni harun, tu koko bob ua.",,Mambae STORY BOOKS copy
Kolega faru kinur hapara sira baku malu. Nia dehan ba nia kolega sira atu haree malu di’ak. Tuku malu mak hahalok ida-ne’ebé la di’ak.,Kolega kid har gmen pun para bel ser bob ron ua. Ua dale man ni kolegan ro tu rom ko ron kode. Tid ron pe hahalok kid ba kode.,,Mambae STORY BOOKS copy
"Sira nain rua kaer liman, no haree malu di’ak ona. Kolega ne’ebé hatais faru kinur tuur iha rai hili plástiku.","Rom ru pael lim, nor kor ron kode soi. Kolega kid har gmen kdei haer raea loi plastik",,Mambae STORY BOOKS copy
"Sira hotu tuur ona, haree kolega halo buat ruma ho plástiku. Nia halo saida?","Ro kdeia hled soi, ko kolegan pun sana ser nor plastic. Ua pun sapa?",,Mambae STORY BOOKS copy
"Nia halo bola! Nia dehan ba ninia kolega sira, 
“entaun mai ona, ita joga bola hamutuk.” 
Ida-ne’e mós hanoin ida di’ak.","Ua pun bolan! Ua dale man ni kolegan ro la, “Anta ma hei, it joga bolan put’.
Idia met hanoin kode.",,Mambae STORY BOOKS copy
"Sira ba kampu joga bola hamutuk. Sira laran kontenti, 
la hirus ona ba malu.","Rom man kampun lalai joga bolan put.
Rom lalan kontenti,
Ba tou ro soi.",,Mambae STORY BOOKS copy
"Armindo ho nia kolega sira halimar hamutuk bebeik. Sira gosta tebes hasoru malu atu halimar hamutuk. Sira sempre halimar berlindus, wari, joga bola, no halimar buat seluk tan.","Armindo nor ni kolegan ro dlai put bebeik. Rom gosta dlo sak ro lalai dlai put. Rom sempre dlai berlindus, wari, joga bolan, nor dlai san selu ta.",,Mambae STORY BOOKS copy
"Lokraik-lokraik bainhira Armindo fila ba uma, nia tee iha rai mamuk. Armindo la hatene, maibé nia hetan moras lombriga. Tipu lombriga ida-ne’e naran lombriga tali.","Leldu-leldu kuandu Armindo hael man pada la, ua la te ni rae mamun. Armindo ba tadlo, mais ua et moras lumrigan. Lumriga kidia gala Lubrig taela.",,Mambae STORY BOOKS copy
"Armindo bá tiha ona, maibé ninia tee sei iha ne’ebá hela. Lombriga tali nia tolun nakfera sai ular oan. Ular oan ne’e tama ba rai, hein atu tama fali ema seluk nia isin liu husi ninia ain.","Armindo la bel soi, mais ua ten hi her bel laua. Lumrig taela ni telon tbo sai sokai anan. Sokai anan tam her raea la, gnan lalai tam hel atub selun ni etan la dar ua oen.",,Mambae STORY BOOKS copy
"Loron ida, Armindo ho nia kolega sira hili atu halimar berlindus iha fatin ida. Armindo haluha katak semana hira liu ba nia tee iha fatin ne’e. Sira hotu la uza xinelus.","Lelon id, Armindo nor ni kolegan ro karak dlai berlindus ni hatin id. Armindo mlig hati tune semana pil la hohon ua te bel ni hati kidia. Rom ba uza hled sinelus.",,Mambae STORY BOOKS copy
"Kolega balun halimar bola, no kolega feto sira halimar wari. Sira hotu mós la uza xinelus.","Kolegan ser dlai bolan, no kolega bihina ro dlai wari. Rom met ba uza sinelos desa.",,Mambae STORY BOOKS copy
Sira hotu la uza xinelus ka sapatu. Sira halimar iha fatin ne’ebé Armindo tee. Lombriga tali nia ular tama ba sira-nia isin liu hosi liman ho ain tanan.,Rom hled ba uza sinelus nor sapatun. Rom dlai her hati kid Armindo te la. Lumbrig taela ni sokaia tam her rom etan la liu dar rom liman nor rom oe mosun.,,Mambae STORY BOOKS copy
"Fulan ida tuir mai, labarik sira iha eskola. Sira hotu kabun moras. Sira moras tanba lombriga tali tama ba sira-nia isin. Sira moras loos no tanba ne’e sira susar atu aprende buat ida iha eskola.","Hula id hdel ma, loban ro her iskolan. Rom bain ban hled. Rom moras tan se lumrig taela tam rom etan. Rom moras tu idia pe pun rom susar aprende sana ser ni iskolan.",,Mambae STORY BOOKS copy
"Ita hotu tenke kuidadu moras lombriga tali. Atu la bele hetan moras ne’e:
Sempre soe bee boot iha sentina, la bele soe bee boot iha fatin seluk. 

Depois de soe bee, fase liman ho sabaun.

Sempre uza xinelus ka sapatu.","It tenki kuidadu moras lumrig taela. Lalai balika et moras kidia:
Sempre sintina tun ni hatin, bese sintina hel ni hati selun.

Depois sintina bael tenki has liman nor sabaun

Sempre hut sinelus nor sapatun",,Mambae STORY BOOKS copy
Istória ne’e kona-ba labarik mane ida naran Alberto. Nia hela iha Aileu.,Istoria kidia dia la loba manen id gala Alberto. Ua hela her Aileu,,Mambae STORY BOOKS copy
Alberto gosta tebes han rapsadu no hahán seluk ne’ebé midar.,Alberto gosta dlo mu rabisadun no sanmua selun ser medan,,Mambae STORY BOOKS copy
"Loron ida Alberto tuur iha eskola laran. 
Nia nehan moras loos!","Lelon id Alberto kdeia ni iskola lalan.
Ua nipan bana dlo!",,Mambae STORY BOOKS copy
Alberto bá konsulta iha klínika nehan iha ospitál. Enfermeira iha klínika ne’e nia naran Maria.,Alberto la konsulta ni klinik nipan nin ni ospital. Infermeira her klinik kidia ua galan Maria,,Mambae STORY BOOKS copy
"Maria hadi’a Alberto nia nehan. Maria hatete Alberto katak nia tenke kose nehan loro-loron. 
Nia mós dehan la bele han rapsadu ho dose demais.","Maria hadia Alberto ni nipan.
Maria dale la Alberto tune ua tenki roes nipan namad namad
Ua dale met tu balika mu rapisadun nor dosin demais.",,Mambae STORY BOOKS copy
Alberto komesa kose nia nehan loron-loron. Nia kose nehan iha dadeersaan antes nia bá eskola. Nia mós kose nehan kalan antes nia toba.,Alberto komesa koes ni nipan namad-namad. Ua koes nipan ni bus antis ua la man iskolan la. Ua met roes nipan hoda antis ua la bue.,,Mambae STORY BOOKS copy
"Alberto mós troka nia hahán. Nia ladún han rapsadu, maibé nia han ai-fuan barak. Nia mós hemu bee moos barak.","Alberto met troka ua sanmuan. Ua badun mu rapisadun, mais ua mu se aihuan pe dotu. Ua met en er mon dotu.",,Mambae STORY BOOKS copy
"Agora Alberto bá eskola nunka falta. Nia nunka hetan nehan moras tan, tanba nia kose nehan loro-loron no han hahán ne’ebé di’ak ba nehan.","Agora Alberto la iskolan nunka palta. Ua nunka et moras nipan ban ta, tan la ua roes nipan namad –namad nor mu sanmua koden la nipan nin.",,Mambae STORY BOOKS copy
Labarik ida ho nia apá bá tasi ibun tiha ikan ho rede. Labarik ne’e nia naran Atis.,Loban id nor ni papan la ni taes gugun teh ika nor redin. Lo kidia ni galan Atis.,,Mambae STORY BOOKS copy
"Atis hatudu ba tasi, fó-hatene nia apá katak ikan haksoit iha ne’ebá. Sira bá para tiha lalais ikan ne’e.","Atis kok man taesa, dale la ni papan tu ikan tik her laid bana. Rom la para teh biu ika kidia.",,Mambae STORY BOOKS copy
Sira bá iha tasi klaran. Atis ajuda nia apá hatun rede ba tasi laran. Atis kontente loos.,Rom man taes pusun la. Atis ajuda ni papan lui du redin man taes lalan la. Atis kontenti dlo.,,Mambae STORY BOOKS copy
Sira dada sira-nia rede. Ikan iha barak loos. Atis kontente tebes tanba nia gosta han ikan.,Rom dad rom redin. Ikan dotu dlo. Atis kontenti dlo tan ua gosta mu ikan.,,Mambae STORY BOOKS copy
Sira bá fali tasi ibun no tun husi sira-nia ró. Atis lori ikan ne’e ba fa’an.,Rom la hel man taes gugun nor rom du dar rom proan. Atis oed ikan la seo.,,Mambae STORY BOOKS copy
Sira hetan ona osan. Atis hetan dolar rua. Atis nia apá hetan dolar sanulu.,Rom et osa soi. Atis et dolar ru. Atis ni papan et dolar sagul.,,Mambae STORY BOOKS copy
Ikan balun sira la fa’an. Sira lori ba uma. Sira-nia uma la dook husi tasi ibun.,Ikan ser rom ba seo id. Rom oed man rom padon la. Rom padon ba ro dar taes gugun kid.,,Mambae STORY BOOKS copy
"Kalan ne’e, Atis nia amá halo modo ho ikan. Sira hotu han hamutuk. Sira hotu kontente tebes.","Hoda kidia, Atis ni maman pun modon nor ikan. Rom mua put. Rom kontente hled.",,Mambae STORY BOOKS copy
Ha’u-nia servisu karpinteiru.,Au serbis karpinteirun,,Mambae STORY BOOKS copy
Hirak ne’e mak ha’u-nia sasán servisu.,Seria pe au san pun serbisa nin,,Mambae STORY BOOKS copy
Ha’u uza kadoo hodi tesi ai.,Au uza kdoa lalai tes aia,,Mambae STORY BOOKS copy
"Ha’u uza supilla 
hodi halo kabeer ai.",Au uza sipila lalai pun aia kaber.,,Mambae STORY BOOKS copy
"Ha’u uza eskuadru 
hodi halo loos kuadradu.",Au uza eskuadrun lalai pun kuadradun dlo,,Mambae STORY BOOKS copy
"Ha’u uza metru 
hodi sukat ai.",Au uza metrun lalai sukat aia.,,Mambae STORY BOOKS copy
"Ha’u uza martelu 
hodi prega ai.",Au uza martelun lalai prega aia.,,Mambae STORY BOOKS copy
"Hirak ne’e mak ha’u-nia servisu.
Meza, armáriu, kadeira 
no seluk tan.","Sanseria pe au serbisan. Meza, Armarin, kadeira nor serloin tan.",,Mambae STORY BOOKS copy
"ITA NIA RAI FURAK
(Rai Aileu ne’ebé furak)",IT RAEN NI DADIN,,Mambae STORY BOOKS copy
"Iha loron ida, iha rai kapás ida ne’ebé naran Aileu, labarik na’in rua hasoru malu iha merkadu.","Ni lelon id, ni rae dadin id gala Aileu, loban ru sak ro ni merkadun.",,Mambae STORY BOOKS copy
Sira na’in-rua deside atu la’o pasiar haree sira-nia rai Aileu ne’ebé furak tebetebes.,Rom ru desidi tu lolai pasiar ko rom rae Aileu kid dadi dlon ua.,,Mambae STORY BOOKS copy
Sira haree katuas ho ferik sira halo serimónia adat. Labarik sira kontente haree serimónia ida-ne’e.,Rom et tata id no tatinen ser pun bel serimonia adat. Loban ro kontenti dlo ko serimonia kidia.,,Mambae STORY BOOKS copy
"Sira la’o tan, haree rai buras Aileu nian. Sira haree ai-horis, natar, mota, uma, no buat barak tan.","Rom lolai ta, ko rae hdala Aileu nin. Rom ko ai-mori, aroen, sloga, pada, nor san dotu tan.",,Mambae STORY BOOKS copy
"Iha dalan klaran, besik mota ki’ik ida, sira haree fo’er barak ne’ebé ema soe arbiru. Sira triste tebes tanba fo’er ne’e halo rai kapás sai fali rai aat.","Rat ni da pusun, pdes ni slog ankanan id, rom ko sanlun dotu id ro te arbirun ua. Rom tristi dlo tan la poer seria pun rae id dadin ua sai hel rae klaon.",,Mambae STORY BOOKS copy
Sira bolu sira-nia kolega atu ajuda malu hamoos fo’er husi bee laran ho estrada ninin.,Rom gau rom kolegan lalai ajuda ro hamos bel sanlun her er lalan nor ser her da ehan.,,Mambae STORY BOOKS copy
Sira hatama fo’er ba fatin lixu ne’ebé iha eskola nia sorin.,Rom poes put salun ni sanlun hatin her iskola baiserin.,,Mambae STORY BOOKS copy
"Fatin lixu mak di’ak liu ba soe fo’er, tanba bele halo rai mós. Soe fo’er iha fatin lixu mós di’ak liu ba ita-nia saúde.",Sanlun hatin pe kode rio lalai te sanlun. Tan leb pun rae mo. Te sanlun ni salun hatin met kode res la it saudin.,,Mambae STORY BOOKS copy
"Iha loron segunda, labarik sira bá eskola. Sira kontente tebes, tanba sira ajuda halo sira-nia rai Aileu sai mós no furak liu tan.","Ni lelo sigundan, loban ro la iskolan. Rom kontenti dlo, tan la rom ajuda ro pun rom rae id Aileu ua mo nor dadi ta.",,Mambae STORY BOOKS copy
Lekirauk ho Laho,Lera no Laha,,Mambae STORY BOOKS copy
Iha tempu uluk lekirauk ida ho laho ida halo belun. Iha loron ida sira na’in rua bá hariis hamutuk iha mota laran ida. Hariis hotu tiha sira na’in rua fila ba sira-nia fatin.,Tempu munan lera id nor laha id pun belun. Lelon id rom ru la riu put ni slog lalan id. Riu hled bel rom ru hael hel man rom ru hatin la.,,Mambae STORY BOOKS copy
"Sira na’in rua la’o tuir dalan bá to’os ida. Bainhira to’o to’os laran sira haree hudi hun ida ho fuan tasak iha leten. Haree kona ida-ne’e Lekirauk dehan kedas ba nia belun Laho nune’e, “Belun Laho, mai itrua taru, sé mak bele han hotu hudi-fuan sira ne’ebá durante ita sura to’o sanulu.”","Rom ru lolai hdel da man nama id la. Arpil rom rat ni nama rom et muk pun id nor huan mami her teten. Et bel idia lera dale enene man ni belun laha la manidia, ‘ Belun Laha, ma it ru tar, se pe leb mu hled muk hua ser bana durante it gai rat sagul’.",,Mambae STORY BOOKS copy
"Laho mós hakarak no nia hili atu sa’e uluk. Bainhira Laho sa’e Lekirauk hahú sura kedas, maibé sura to’o sanulu Laho la biban han hudi fuan ida, tanba nia la hatene loke hudi kulit. Nune’e nia tenke tun fila-fali. Haree nia belun Laho la biban han hudi fuan nein ida, Lekirauk hamnasa hahaek hodi dehan nune’e, “Belun Laho, ó lakon buat di’ak ida iha ó-nia moris.”","Laha met karak nor ua loi ua pe sae mun. Arpil Laha sae Lera kumesa gai enene, mais gai rat sagul Laha ba mu nein muk huan id, tan se ua ba tadlo lae muk litan. Idia pe ua tenki du haels. Ko ni belun Laha ba mu muk huan nein id, Lera gnina dlo nor dale manidia, ‘Belun Laha, O lako san koden id ni O morin.’",,Mambae STORY BOOKS copy
"Ne’e hotu tiha Lekirauk mak sa’e fali, nune’e Laho hahú sura. Laho sura seidauk to’o sanulu Lekirauk han tiha ona hudi fuan lubuk ida. Han hotu nia soe tun hudi kulit hirak ne’e ba Laho, “Ó koko han to’ok ba! Gostu ka lae?.” Laho hili hudi kulit hirak ne’e hodi han no dehan ba Lekirauk “wah! gostu loos!”","Idia hled bael Lera pe sae hel, nor Laha pe gai hel. Laha gai ba rat sagul hei Lera mu bel muka leun id soi. Mu hled bel ua te muk litan du man laha la, ‘O koko mu tnaer la! Gostu ka bai?.’ Laha loi rio muk lita ser ua lalai mu nor dale man lera la ‘wah! Gostu dlo!’",,Mambae STORY BOOKS copy
"Hafoin sente bosu loos Lekirauk tun husi hudi leten, no sira na’in rua la’o hamutuk fila-fali. La’o dook uitoan tiha sira liu fila-fali iha ema nia to’os laran ida. Iha to’os laran ne’e iha du’ut maran barak ne’ebé to’os na’in butuk hamutuk hela. Haree kona ida ne’e, Laho dehan ba nia belun Lekirauk nune’e: “Belun Lekirauk, mai itrua taru dala ida tan, sé mak bele tama iha du’ut maran laran ne’e maibé ahi labele han nia durante ita sura to’o sanulu.”","Senti besu dlo soi Lera du dar muk teten ma, nor rom ru lolai put hel. Lolai ro koskan rom liu hel dar ro nam lalan id. Her nam lala kidua gur gmegan dotu kid nam ubun ro bou put bel. Ko bel idia, Laha dale la ni belun Lera manidia: ‘Belun Lera, ma it ru tar hel haet id, se pe tam ni gur gmegan lala kidia mais aepa ba na ua duranti it gai rat sagul’",,Mambae STORY BOOKS copy
"Lekirauk hakarak no nia husu atu Laho mak tama uluk iha du’ut maran laran. Laho hakarak. Tama hotu tiha ba du’ut maran laran, Laho ke’e rai-kuak atu bele subar. Nia haruka Lekirauk atu bele hahú sura. Lekirauk sunu du’ut maran no komesa sura to’o sanulu. Bainhira sura hotu tiha Lekirauk hanoin ahi han tiha ona Laho, tanba ne’e nia haksoit haksolok loos.","Lera karak nor ua tug tu laha pe tam mun man gur gmegan Lalan la. Laha karak. Tam bel la ni gur gmegan lalan, Laha doi rae goan lalai leb sgo. Ua laka Lera leb kumesa gai. Lera sul bel gur gmegan nor ua kumesa gai rat sagul. Arpil gai hled bel Lera hanoin kal aepa mu bel Laha soi, idia pe ua tiku kontenti dlo.",,Mambae STORY BOOKS copy
"Maibé nia hamnasa la kleur de’it Laho haksoit mai. Lekirauk hakfodak lahalimar hodi dehan “Haaa! Halo nu’usá ahi la han ó?” Laho hatán nune’e, “La susar buat ida ha’u-nia belun, ohin ne’e ha’u falun-an ho du’ut maran ne’e halo mahar tebes, tanba ne’e mak ahi la han ha’u.”","Mais ua gnina ba do man ia Laha tik sai ma. Lera magrua dlo nor ua dale ‘Haaa! Manid bae pe aepa ba mu O? Laha dale manidia, “Ba susar tnaer id au belun, nahain ua au pit lolo bel nor gur gmegan pun hogo dlo, idia pe aepa ba mu au idua’.",,Mambae STORY BOOKS copy
"Ne’e hotu tiha Lekirauk mak tama subar fali iha du’ut maran laran ne’e. Lekirauk falun-an ho du’ut maran halo mahar tebes. Tama hotu tiha Laho sunu du’ut no sura kedas. Bainhira sura to’o sanulu, no ahi mate tiha, Laho bá haree Lekirauk mate tiha ona, nia nehan nakreket hela.","Idia hled bel Lera pe tam la sgo hael her gur gmega lalan. Lera pit lolo nor gur gmegan pun hogo dlo. Tam bel hled Laha sul gura nor gai enene. Arpil gai rat sagul, nor aepa mate bel soi, Laha la ko Lera maet bel soi, ua nipan pe gigi bel",,Mambae STORY BOOKS copy
KNAAR,SERBISA,,Mambae STORY BOOKS copy
"Ha’u mak Mestra.

Ha’u nia knaar mak hanorin 
alunu sira iha eskola.","Au pe Mestran.

Au serbisan pe hanori alunu ro her iskolan.",,Mambae STORY BOOKS copy
"Ha’u mak Karpinteiru.

Ha’u mak halo meza no kadeira.","Au pe karpinteirun.

Au pe pun meja no kadeiran.",,Mambae STORY BOOKS copy
"Ha’u mak Doutór.

Ha’u nia knaar mak kura ema moras.","Au Pe Doutor.

Au serbisan pe kura atub moras.",,Mambae STORY BOOKS copy
"Ha’u mak Agrikultór.

Ha’u nia knaar mak prodús halo to’os no natar.","Au pe nam ubun.

Au serbisan pe pun nama nor aroen.",,Mambae STORY BOOKS copy
"Ha’u mak Polísia.

Ha’u nia knaar mak kaer lei ho orden.","Au pe Polisin.

Au serbisan pe pael lein nor orden.",,Mambae STORY BOOKS copy
"Ha’u mak militár.

Ha’u nia knaar mak fó seguransa ba nasaun.","Au pe Militar.

Au serbisan pe ne siguransan la nasaun.",,Mambae STORY BOOKS copy
"Ha’u mak Bombeiru

Ha’u nia knar mak fó apoia emerjénsia ba asidente 
ahi han uma","Au pe Bombeiru.

Au serbisan pe ne apoiu emerjensian man asidenti aepa mu pada",,Mambae STORY BOOKS copy
"Ha’u mak pilotu.

Ha’u nia knar mak kaer aviaun.","Au pe Pilotun.

Au serbisan pe pael Aviaun",,Mambae STORY BOOKS copy
"Ha’u mak xofér.

Ha’u nia knaar mak lori karreta.","Au pe soper.

Au serbisan pe oed kareta.",,Mambae STORY BOOKS copy
"Ha’u mak Tékniku

Ha’u nia knaar mak hadi’a no tau matan ba komputadór, telephone, radio ho TV.","Au pe tekniku

Au serbisan pe hadia nor poes mata la komputador, telfonin, radiu nor telvisaun.",,Mambae STORY BOOKS copy
"Ha’u mak peskadór.

Ha’u nia knaar mak peska ikan.","Au pe peskador.

Au serbisan pe teh ika.",,Mambae STORY BOOKS copy
"Ha’u mak pintór.

Ha’u nia knaar mak pinta illa.","Au pe pintor.

Au serbisan pe pinta ilhan.",,Mambae STORY BOOKS copy
Lakon iha Merkadu,Lako ni merkadun,,Mambae STORY BOOKS copy
Loron ida Amá hadeer sedu tanba nia hakarak atu ba merkadu no hola ai-fuan no modo-tahan ne’ebé di’ak. Julia mós hadeer sedu hotu. Nia atu ajuda Amá ba hola sasán.,Lelon id Mama ble sedu tan ua karak la man merkadun la nor al ai-huan nor modo-noran kid dadi. Julia met ble sedu hled. Ua tu ajuda ni maman la al sana.,,Mambae STORY BOOKS copy
"Amá dehan, “Ohin loron, ita atu hola sasán barak, Julia. Ha’u kontente tanba o mai hotu. Ha’u mesak labele hit sasán sira ne’e”
Julia sente kontente. Nia gosta ajuda no gosta hasoru maluk sira ne’ebé nia koñese iha merkadu.
Hafoin matabixu hotu, Julia no nia Amá foti sira nia pasta no ba liu merkadu. Loron-matan mós sa’e ona no rai komesa manas. Julia tenke la’o lalais hodi akompaña nia Amá.","Mama dale, ‘Nahai ia, it to al sana dotu, Julia. Au kontenti tan la O met ma hled. Au mesa baled tlo sanseria’.
Julia senti kontenti. Ua gosta ajuda nor gosta sak ro nor graen ro ser ua konhesen ni merkadun.
Matabisun hled bel, Julia nor ni maman hu rom pastan la enene man merkadun la. Lel matan met sae soi nor rae met kumesa idi soi. Julia tenki lolai biu lalai akompanha ni maman.",,Mambae STORY BOOKS copy
"Ikus-mai sira to’o duni iha merkadu. Maski sira to’o sedu, maibé ema barak ona mak iha ne’ebá.","Pnori ma rom rat rio ni merkadun. Rom rat sedu met, atuba dotu bael sor her laua.",,Mambae STORY BOOKS copy
Julia haree tomate-tasak. Nia mós sente sabraka no haas ne’ebé morin tebes. Nia hakarak los atu han haas fuan ida.,Julia ko tomatin-mara. Ua met senti dara nor poa mori dlo. Ua karak dlo tu mu poa huan id.,,Mambae STORY BOOKS copy
"Nia fila kotuk atu husu ba nia Amá, nia hakarak hola has fuan ida, maibé nia-Amá laiha ida. Julia haree ba mai. Nia haree ba liman karuk no liman loos no mós nia kotuk. Nia la-hetan nia-Amá. Nia komesa sente ta’uk.","Ua glil hoho lalai tu tug man ni maman la, ua karak tu al poa huan id, mais ni maman banoi bel. Julia ko la ma. Ua ko man ni lima dlo nor klaon la nor met ni hohon. Ua ba et ni maman. Ua kumesa senti tmau.",,Mambae STORY BOOKS copy
"Nia hanoin fali katak ohin nia-Amá hatais roupa kór mean, ne’e-duni nia komesa buka ema ruma ne’ebé hatais roupa kór mean. 
Derrepente de’it, nia haree ema ida hatais roupa kór mean no nia halai lalais ba. Nia kaer ema ne’e no nia dehan, “Amah! Amá! Ba ne’ebé mak ha’u la-haree. Tansá mak Amá husik hela ha’u?”","Ua hanoin hel tu nahain ni maman hut sanetan kor mera, idia pe ua kumesa nae atub ser hut saneta meran ua.
Derpenti se, ua ko atuba id hut saneta kor mera nor ua plaer biu la. Ua pael atub idua nor ua dale, ‘Ama! Ama! Man her id bae pael la pun au ba et idia. Manbe pe Ama lob bel au?’",,Mambae STORY BOOKS copy
"Julia hateke sa’e, maibé feto ne’e la’ós nia Amá ida! Feto ne’e nia oin la’ós hanesan nia Amá ida. Ne’e feto seluk ida! Julia komesa tanis maibé feto ne’e laran di’ak tebes. Feto ne’e dehan, “Ha’u sei haree o. Ita-rua hein iha ne’e. Ita-rua sei buka o nia Amá. Ita-rua sei buka o nia Amá ne’ebé hatais roupa kór mean.” Hamutuk, sira na’in rua buka inan ne’ebé hatais roupa kór mean. Julia komesa la-tanis no hamnasa ba feto ne’e.","Julia ko sae, mais atub hin kidia badlo ni maman! Atub hin kidia ni ahen badlo man ni maman id. Idia atub hinen selun id! Julia kumesa sero mais atub hin kidia atub lala koden dlo. Atub hin kidia dale, “Au hi ko O. It ru gnan neia. It ru hi nae o maman. It ru hi nae o maman kid hut saneta meran ua.” Put, rom ru nae mama kid hut saneta meran ua. Julia kumesa ba sero soi nor gnina man bihin kidia la.",,Mambae STORY BOOKS copy
"Derrepente, nia haree inan ida hatais roupa mean! Nia Amá mak mai! Julia halai ba hasoru nia Amá, no tuir-mai sira ba hasoru feto ida ohin ne’e. Julia nia Amá hateten ba feto ne’e “Obrigada tan haree ona Julia,” Feto ne’e hateten “Ha’u kontente bele ajuda,”","Derpenti, ua ko maman id hut sanetan mera! Ni maman pe ma! Julia plaer la sak ni maman, nor hdel hel ma rom la sak atub hine kid nahain. Julia ni maman dale la atub hin kidia ‘Obrigada tan la O ko bel Julia,’ Atub hin kidia dale,’Au kontenti leb ajuda’.",,Mambae STORY BOOKS copy
"Julia nia Amá dehan ba Julia “Deskulpa tan ha’u husik hela o,” no sira na’in rua hi’it liman hodi dehan adeus ba feto ne’e. Julia kaer nia Amá nia liman. Nia lakohi atu la’o lakon dala ida tan!","Julia ni maman dale la Julia ‘Diskulpa tan la au lob bel o,’ nor rom ru tlo liman nor dale adeus la atub hin kidua. Julia pael ni maman ni liman. Ua maki lolai lako haetid ta!",,Mambae STORY BOOKS copy
ASU HO MANDUKU,ASA NOR KEDELOKON,,Mambae STORY BOOKS copy
"Iha loron ida asu, lekirauk, manu, kuda ho karau hotu-hotu ba mota hemu bee. Asu ko’alia ho manduku, “O-nia moris ne’e iha bee laran de’it. O halai mós o haksoit, haksoit de’it,” Asu ne’e hatún liu manduku.","Ni lelon id asa, lera, mana, kuda nor arbaua rom la hled ni sloga lai en era. Asa gase nor kedelokon, ‘O morin ni se er lalan. O plaer met o tiku, tikus la,’ As idia hatun dlo kedelokon.",,Mambae STORY BOOKS copy
